Modifier[s]|Ingredient|Volume (cups)|Ounces|Grams
|Malt syrup|0.12|1.50|43
|Malted Milk Powder|0.25|1.25|35
|Malted Wheat Flakes|0.50|2.25|64
|Maple sugar|0.50|2.75|78
|Maple syrup|0.50|5.50|156
|Marshmallow crème|1.00|3.00|85
|Marshmallow Fluff®|1.00|4.50|128
mini|Marshmallows|1.00|1.50|43
|Marzipan|1.00|10.12|290
|Mashed potatoes|1.00|7.50|213
|Mayonnaise|0.50|4.00|113
|Meringue powder|0.25|1.50|43
evaporated|Milk|0.50|4.00|113
fresh|Milk|1.00|8.00|227
whole|Millet|0.50|3.62|103
|Mini chocolate chips|1.00|6.25|177
|Molasses|0.25|3.00|85
sliced|Mushrooms|1.00|2.75|78
|Non-Diastatic Malt Powder|0.12|0.62|18
|Oat bran|0.50|1.88|53
|Oat flour|1.00|3.25|92
rolled oats|Old-fashioned oats|1.00|3.50|99
|Olive oil|0.25|1.75|50
sliced|Olives|1.00|5.00|142
fresh|Onions|1.00|5.00|142
diced|Onions|1.00|5.00|142
|Paleo Baking Flour|1.00|3.62|104
|Pasta Flour Blend|1.00|5.12|145
|Pastry Flour|1.00|3.75|106
|Pastry Flour Blend|1.00|4.00|113
peeled and diced|Peaches|1.00|6.00|170
|Peanut butter|0.50|4.75|135
whole|Peanuts|1.00|5.00|142
shelled|Peanuts|1.00|5.00|142
peeled and diced|Pears|1.00|5.75|163
|Pecan Meal|1.00|2.75|80
diced|Pecans|0.50|2.00|57
|Pie Filling Enhancer|0.25|1.62|46
|Pine nuts|0.50|2.50|71
dried|Pineapple|0.50|2.50|71
fresh canned|Pineapple|1.00|6.00|170
diced|Pineapple|1.00|6.00|170
|Pistachio nuts|0.50|2.12|60
|Pistachio Paste|0.25|2.75|78
|Pizza Flour Blend|1.00|4.38|124
coarse ground cornmeal|Polenta|1.00|5.75|163
|Poppy seeds|0.12|0.62|18
|Potato Flour|0.25|1.62|46
|Potato starch|1.00|5.38|152
|Pumpernickel Flour|1.00|3.75|106
canned|Pumpkin|1.00|8.00|227
|Quick cooking oats|1.00|3.12|89
cooked|Quinoa|1.00|6.50|184
whole|Quinoa|1.00|6.25|177
|Quinoa flour|1.00|3.88|110
loose|Raisins|1.00|5.25|149
packed|Raisins|0.50|3.00|85
fresh|Raspberries|1.00|4.25|120
sliced|Rhubarb|1.00|4.25|120
1/2" slices|Rhubarb|1.00|4.25|120
long grain|Rice|0.50|3.50|99
dry|Rice|0.50|3.50|99
white|Rice flour|1.00|5.00|142
|Rice Krispies|1.00|1.00|28
|Rye Chops|1.00|4.25|120
|Rye flakes|1.00|4.38|124
|Rye Flour|1.00|3.62|103
|Rye Flour Blend|1.00|3.75|106
Kosher|Salt|0.06||8
Diamond Crystal|Salt|0.06||8
Kosher|Salt|0.06||16
Morton's|Salt|0.06||16
table|Salt|0.06||18
sliced|Scallions|1.00|2.25|64
|Self-Rising Flour|1.00|4.00|113
|Semolina Flour|1.00|5.75|163
|Sesame seeds|0.50|2.50|71
peeled and sliced|Shallots|1.00|5.50|156
|Six-Grain Blend|1.00|4.50|128
|Sorghum flour|1.00|4.88|138
|Sour cream|1.00|8.00|227
|Sourdough starter|1.00|8.25|227 to 241
|Soy flour|0.25|1.25|35
|Spelt Flour|1.00|3.50|99
|Sprouted Wheat Flour|1.00|4.00|113
cooked|Steel cut oats|1.00|9.00|255
raw|Steel cut oats|0.50|2.88|99
|Sticky Bun Sugar|1.00|3.50|99
fresh sliced|Strawberries|1.00|5.88|167
granulated white|Sugar|1.00|7.00|198
Splenda|Sugar substitute|1.00|0.88|25
dry pack|Sundried tomatoes|1.00|6.00|170
|Sunflower seeds|0.25|1.25|35
|Super 10 Blend|1.00|3.75|106
|Sweetened condensed milk|0.25|2.75|78
|Tahini paste|0.50|4.50|128
|Tapicoa starch or flour|1.00|4.00|113
quick cooking|Tapioca|0.12|0.75|21
|Teff flour|1.00|4.75|135
|Toasted Almond Flour|1.00|3.38|96
|Toffee chunks|1.00|5.50|156
|Tropical Fruit Blend|1.00|4.75|128 to 142
raw|Turbinado sugar|1.00|6.38|180
|Unbleached Cake Flour|1.00|4.25|120
|Vanilla extract |0.06|0.50|14
|Vegetable oil|1.00|7.00|198
|Vegetable shortening|0.25|1.62|46
|Vermont Cheese Powder|0.50|2.00|57
|Vital Wheat Gluten|0.12|0.62|18
chopped|Walnuts|1.00|4.00|113
whole|Walnuts|0.50|2.25|64
|Water|1.00|8.00|227
red|Wheat berries|1.00|6.50|184
|Wheat bran|0.50|1.12|32
|Wheat germ|0.25|1.00|28
|White Chocolate Chips|1.00|6.00|170
|White Rye Flour|1.00|3.75|106
|White Whole Wheat Flour|1.00|4.00|113
|Whole Grain Flour Blend|1.00|4.00|113
Premium 100%|Whole Wheat Flour|1.00|4.00|113
|Whole Wheat Pastry Flour / Graham Flour|1.00|3.38|96
instant|Yeast|0.05|0.25|7
|Yogurt|1.00|8.00|227
shredded|Zucchini|1.00|5.50|142 to 170
